Episode 0 	 EpRet -161.567 	 EpLen 200
Episode 1 	 EpRet -3.344 	 EpLen 200
Episode 2 	 EpRet -419.340 	 EpLen 200
Episode 3 	 EpRet -165.907 	 EpLen 200
Episode 4 	 EpRet -1.809 	 EpLen 200
Episode 5 	 EpRet -0.526 	 EpLen 200
Episode 6 	 EpRet -164.439 	 EpLen 200
Episode 7 	 EpRet -373.684 	 EpLen 200
Episode 8 	 EpRet -0.598 	 EpLen 200
Episode 9 	 EpRet -352.899 	 EpLen 200
Episode 10 	 EpRet -366.427 	 EpLen 200
Episode 11 	 EpRet -617.808 	 EpLen 200
Episode 12 	 EpRet -573.837 	 EpLen 200
Episode 13 	 EpRet -180.163 	 EpLen 200
Episode 14 	 EpRet -162.805 	 EpLen 200
Episode 15 	 EpRet -974.943 	 EpLen 200
Episode 16 	 EpRet -1.354 	 EpLen 200
Episode 17 	 EpRet -179.731 	 EpLen 200
Episode 18 	 EpRet -0.502 	 EpLen 200
Episode 19 	 EpRet -166.927 	 EpLen 200
Episode 20 	 EpRet -170.013 	 EpLen 200
Episode 21 	 EpRet -166.425 	 EpLen 200
Episode 22 	 EpRet -172.847 	 EpLen 200
Episode 23 	 EpRet -162.339 	 EpLen 200
Episode 24 	 EpRet -587.677 	 EpLen 200
Episode 25 	 EpRet -0.835 	 EpLen 200
Episode 26 	 EpRet -1721.407 	 EpLen 200
Episode 27 	 EpRet -613.094 	 EpLen 200
Episode 28 	 EpRet -167.215 	 EpLen 200
Episode 29 	 EpRet -390.853 	 EpLen 200
Episode 30 	 EpRet -0.478 	 EpLen 200
Episode 31 	 EpRet -163.917 	 EpLen 200
Episode 32 	 EpRet -168.297 	 EpLen 200
Episode 33 	 EpRet -698.941 	 EpLen 200
Episode 34 	 EpRet -176.672 	 EpLen 200
Episode 35 	 EpRet -0.724 	 EpLen 200
Episode 36 	 EpRet -0.476 	 EpLen 200
Episode 37 	 EpRet -560.176 	 EpLen 200
Episode 38 	 EpRet -550.468 	 EpLen 200
Episode 39 	 EpRet -376.834 	 EpLen 200
Episode 40 	 EpRet -926.631 	 EpLen 200
Episode 41 	 EpRet -630.850 	 EpLen 200
Episode 42 	 EpRet -374.903 	 EpLen 200
Episode 43 	 EpRet -360.768 	 EpLen 200
Episode 44 	 EpRet -845.576 	 EpLen 200
Episode 45 	 EpRet -348.811 	 EpLen 200
Episode 46 	 EpRet -2.396 	 EpLen 200
Episode 47 	 EpRet -622.562 	 EpLen 200
Episode 48 	 EpRet -364.321 	 EpLen 200
Episode 49 	 EpRet -697.217 	 EpLen 200
Episode 50 	 EpRet -1089.775 	 EpLen 200
Episode 51 	 EpRet -400.529 	 EpLen 200
Episode 52 	 EpRet -181.623 	 EpLen 200
Episode 53 	 EpRet -175.222 	 EpLen 200
Episode 54 	 EpRet -1008.275 	 EpLen 200
Episode 55 	 EpRet -342.868 	 EpLen 200
Episode 56 	 EpRet -168.118 	 EpLen 200
Episode 57 	 EpRet -2.959 	 EpLen 200
Episode 58 	 EpRet -3264.227 	 EpLen 200
Episode 59 	 EpRet -3266.454 	 EpLen 200
Episode 60 	 EpRet -759.886 	 EpLen 200
Episode 61 	 EpRet -161.127 	 EpLen 200
Episode 62 	 EpRet -575.430 	 EpLen 200
Episode 63 	 EpRet -818.465 	 EpLen 200
Episode 64 	 EpRet -190.722 	 EpLen 200
Episode 65 	 EpRet -990.611 	 EpLen 200
Episode 66 	 EpRet -373.777 	 EpLen 200
Episode 67 	 EpRet -180.574 	 EpLen 200
Episode 68 	 EpRet -157.350 	 EpLen 200
Episode 69 	 EpRet -182.753 	 EpLen 200
Episode 70 	 EpRet -157.472 	 EpLen 200
Episode 71 	 EpRet -402.216 	 EpLen 200
Episode 72 	 EpRet -1.538 	 EpLen 200
Episode 73 	 EpRet -181.778 	 EpLen 200
Episode 74 	 EpRet -189.196 	 EpLen 200
Episode 75 	 EpRet -391.329 	 EpLen 200
Episode 76 	 EpRet -158.623 	 EpLen 200
Episode 77 	 EpRet -696.413 	 EpLen 200
Episode 78 	 EpRet -171.384 	 EpLen 200
Episode 79 	 EpRet -187.061 	 EpLen 200
Episode 80 	 EpRet -161.933 	 EpLen 200
Episode 81 	 EpRet -0.349 	 EpLen 200
Episode 82 	 EpRet -643.997 	 EpLen 200
Episode 83 	 EpRet -546.752 	 EpLen 200
Episode 84 	 EpRet -157.315 	 EpLen 200
Episode 85 	 EpRet -159.342 	 EpLen 200
Episode 86 	 EpRet -376.532 	 EpLen 200
Episode 87 	 EpRet -174.677 	 EpLen 200
Episode 88 	 EpRet -172.750 	 EpLen 200
Episode 89 	 EpRet -1093.311 	 EpLen 200
Episode 90 	 EpRet -3.154 	 EpLen 200
Episode 91 	 EpRet -164.512 	 EpLen 200
Episode 92 	 EpRet -569.924 	 EpLen 200
Episode 93 	 EpRet -379.745 	 EpLen 200
Episode 94 	 EpRet -703.919 	 EpLen 200
Episode 95 	 EpRet -168.349 	 EpLen 200
Episode 96 	 EpRet -160.646 	 EpLen 200
Episode 97 	 EpRet -661.451 	 EpLen 200
Episode 98 	 EpRet -679.098 	 EpLen 200
Episode 99 	 EpRet -162.775 	 EpLen 200
-------------------------------------
|    AverageEpRet |            -409 |
|        StdEpRet |             513 |
|        MaxEpRet |          -0.349 |
|        MinEpRet |       -3.27e+03 |
|           EpLen |             200 |

