Episode 0 	 EpRet -1041.177 	 EpLen 200
Episode 1 	 EpRet -1042.913 	 EpLen 200
Episode 2 	 EpRet -1012.686 	 EpLen 200
Episode 3 	 EpRet -1154.727 	 EpLen 200
Episode 4 	 EpRet -1048.679 	 EpLen 200
Episode 5 	 EpRet -1075.447 	 EpLen 200
Episode 6 	 EpRet -1048.886 	 EpLen 200
Episode 7 	 EpRet -1043.096 	 EpLen 200
Episode 8 	 EpRet -1164.590 	 EpLen 200
Episode 9 	 EpRet -1061.718 	 EpLen 200
Episode 10 	 EpRet -1028.657 	 EpLen 200
Episode 11 	 EpRet -991.404 	 EpLen 200
Episode 12 	 EpRet -1024.440 	 EpLen 200
Episode 13 	 EpRet -1034.040 	 EpLen 200
Episode 14 	 EpRet -1063.249 	 EpLen 200
Episode 15 	 EpRet -1028.615 	 EpLen 200
Episode 16 	 EpRet -1122.944 	 EpLen 200
Episode 17 	 EpRet -1061.572 	 EpLen 200
Episode 18 	 EpRet -885.094 	 EpLen 200
Episode 19 	 EpRet -1000.559 	 EpLen 200
Episode 20 	 EpRet -895.797 	 EpLen 200
Episode 21 	 EpRet -1049.149 	 EpLen 200
Episode 22 	 EpRet -1110.823 	 EpLen 200
Episode 23 	 EpRet -1029.269 	 EpLen 200
Episode 24 	 EpRet -999.309 	 EpLen 200
Episode 25 	 EpRet -893.714 	 EpLen 200
Episode 26 	 EpRet -1049.736 	 EpLen 200
Episode 27 	 EpRet -1048.126 	 EpLen 200
Episode 28 	 EpRet -1161.434 	 EpLen 200
Episode 29 	 EpRet -1036.189 	 EpLen 200
Episode 30 	 EpRet -1085.343 	 EpLen 200
Episode 31 	 EpRet -1037.999 	 EpLen 200
Episode 32 	 EpRet -1163.061 	 EpLen 200
Episode 33 	 EpRet -923.841 	 EpLen 200
Episode 34 	 EpRet -1187.256 	 EpLen 200
Episode 35 	 EpRet -1037.776 	 EpLen 200
Episode 36 	 EpRet -1056.460 	 EpLen 200
Episode 37 	 EpRet -1068.301 	 EpLen 200
Episode 38 	 EpRet -1051.974 	 EpLen 200
Episode 39 	 EpRet -1022.252 	 EpLen 200
Episode 40 	 EpRet -967.826 	 EpLen 200
Episode 41 	 EpRet -1103.792 	 EpLen 200
Episode 42 	 EpRet -1102.553 	 EpLen 200
Episode 43 	 EpRet -875.563 	 EpLen 200
Episode 44 	 EpRet -1018.809 	 EpLen 200
Episode 45 	 EpRet -1033.193 	 EpLen 200
Episode 46 	 EpRet -1057.452 	 EpLen 200
Episode 47 	 EpRet -1011.799 	 EpLen 200
Episode 48 	 EpRet -998.102 	 EpLen 200
Episode 49 	 EpRet -1055.666 	 EpLen 200
Episode 50 	 EpRet -896.838 	 EpLen 200
Episode 51 	 EpRet -1104.485 	 EpLen 200
Episode 52 	 EpRet -934.431 	 EpLen 200
Episode 53 	 EpRet -1078.831 	 EpLen 200
Episode 54 	 EpRet -1194.985 	 EpLen 200
Episode 55 	 EpRet -940.536 	 EpLen 200
Episode 56 	 EpRet -1039.454 	 EpLen 200
Episode 57 	 EpRet -1061.089 	 EpLen 200
Episode 58 	 EpRet -1017.941 	 EpLen 200
Episode 59 	 EpRet -1155.496 	 EpLen 200
Episode 60 	 EpRet -1008.477 	 EpLen 200
Episode 61 	 EpRet -1499.971 	 EpLen 200
Episode 62 	 EpRet -1028.979 	 EpLen 200
Episode 63 	 EpRet -1053.527 	 EpLen 200
Episode 64 	 EpRet -967.014 	 EpLen 200
Episode 65 	 EpRet -1025.196 	 EpLen 200
Episode 66 	 EpRet -1153.563 	 EpLen 200
Episode 67 	 EpRet -1043.439 	 EpLen 200
Episode 68 	 EpRet -1059.903 	 EpLen 200
Episode 69 	 EpRet -1064.898 	 EpLen 200
Episode 70 	 EpRet -773.131 	 EpLen 200
Episode 71 	 EpRet -1073.218 	 EpLen 200
Episode 72 	 EpRet -917.445 	 EpLen 200
Episode 73 	 EpRet -1396.175 	 EpLen 200
Episode 74 	 EpRet -1031.829 	 EpLen 200
Episode 75 	 EpRet -1061.292 	 EpLen 200
Episode 76 	 EpRet -1058.847 	 EpLen 200
Episode 77 	 EpRet -1119.609 	 EpLen 200
Episode 78 	 EpRet -1038.393 	 EpLen 200
Episode 79 	 EpRet -1056.522 	 EpLen 200
Episode 80 	 EpRet -1093.054 	 EpLen 200
Episode 81 	 EpRet -944.582 	 EpLen 200
Episode 82 	 EpRet -1076.300 	 EpLen 200
Episode 83 	 EpRet -1041.767 	 EpLen 200
Episode 84 	 EpRet -1043.735 	 EpLen 200
Episode 85 	 EpRet -1153.933 	 EpLen 200
Episode 86 	 EpRet -1033.123 	 EpLen 200
Episode 87 	 EpRet -1091.962 	 EpLen 200
Episode 88 	 EpRet -1020.624 	 EpLen 200
Episode 89 	 EpRet -1026.760 	 EpLen 200
Episode 90 	 EpRet -1028.415 	 EpLen 200
Episode 91 	 EpRet -1022.686 	 EpLen 200
Episode 92 	 EpRet -1027.457 	 EpLen 200
Episode 93 	 EpRet -1019.621 	 EpLen 200
Episode 94 	 EpRet -1022.465 	 EpLen 200
Episode 95 	 EpRet -953.898 	 EpLen 200
Episode 96 	 EpRet -1461.376 	 EpLen 200
Episode 97 	 EpRet -1045.988 	 EpLen 200
Episode 98 	 EpRet -1641.991 	 EpLen 200
Episode 99 	 EpRet -1050.769 	 EpLen 200
-------------------------------------
|    AverageEpRet |       -1.06e+03 |
|        StdEpRet |             115 |
|        MaxEpRet |            -773 |
|        MinEpRet |       -1.64e+03 |
|           EpLen |             200 |

