Episode 0 	 EpRet -893.170 	 EpLen 200
Episode 1 	 EpRet -791.674 	 EpLen 200
Episode 2 	 EpRet -1076.150 	 EpLen 200
Episode 3 	 EpRet -1009.527 	 EpLen 200
Episode 4 	 EpRet -887.431 	 EpLen 200
Episode 5 	 EpRet -909.233 	 EpLen 200
Episode 6 	 EpRet -878.015 	 EpLen 200
Episode 7 	 EpRet -990.430 	 EpLen 200
Episode 8 	 EpRet -871.583 	 EpLen 200
Episode 9 	 EpRet -880.720 	 EpLen 200
Episode 10 	 EpRet -921.802 	 EpLen 200
Episode 11 	 EpRet -1000.322 	 EpLen 200
Episode 12 	 EpRet -1013.388 	 EpLen 200
Episode 13 	 EpRet -1069.145 	 EpLen 200
Episode 14 	 EpRet -888.165 	 EpLen 200
Episode 15 	 EpRet -868.232 	 EpLen 200
Episode 16 	 EpRet -859.844 	 EpLen 200
Episode 17 	 EpRet -965.161 	 EpLen 200
Episode 18 	 EpRet -856.722 	 EpLen 200
Episode 19 	 EpRet -858.937 	 EpLen 200
Episode 20 	 EpRet -794.443 	 EpLen 200
Episode 21 	 EpRet -990.666 	 EpLen 200
Episode 22 	 EpRet -871.263 	 EpLen 200
Episode 23 	 EpRet -871.527 	 EpLen 200
Episode 24 	 EpRet -855.374 	 EpLen 200
Episode 25 	 EpRet -1578.215 	 EpLen 200
Episode 26 	 EpRet -898.252 	 EpLen 200
Episode 27 	 EpRet -995.251 	 EpLen 200
Episode 28 	 EpRet -1658.339 	 EpLen 200
Episode 29 	 EpRet -819.093 	 EpLen 200
Episode 30 	 EpRet -1538.167 	 EpLen 200
Episode 31 	 EpRet -1089.331 	 EpLen 200
Episode 32 	 EpRet -1185.029 	 EpLen 200
Episode 33 	 EpRet -897.084 	 EpLen 200
Episode 34 	 EpRet -1387.133 	 EpLen 200
Episode 35 	 EpRet -1274.123 	 EpLen 200
Episode 36 	 EpRet -875.515 	 EpLen 200
Episode 37 	 EpRet -998.883 	 EpLen 200
Episode 38 	 EpRet -1086.312 	 EpLen 200
Episode 39 	 EpRet -837.984 	 EpLen 200
Episode 40 	 EpRet -1272.339 	 EpLen 200
Episode 41 	 EpRet -988.324 	 EpLen 200
Episode 42 	 EpRet -891.026 	 EpLen 200
Episode 43 	 EpRet -1189.805 	 EpLen 200
Episode 44 	 EpRet -968.137 	 EpLen 200
Episode 45 	 EpRet -900.953 	 EpLen 200
Episode 46 	 EpRet -1349.865 	 EpLen 200
Episode 47 	 EpRet -1384.287 	 EpLen 200
Episode 48 	 EpRet -983.210 	 EpLen 200
Episode 49 	 EpRet -876.172 	 EpLen 200
Episode 50 	 EpRet -1662.648 	 EpLen 200
Episode 51 	 EpRet -1104.738 	 EpLen 200
Episode 52 	 EpRet -858.946 	 EpLen 200
Episode 53 	 EpRet -815.616 	 EpLen 200
Episode 54 	 EpRet -879.320 	 EpLen 200
Episode 55 	 EpRet -1094.176 	 EpLen 200
Episode 56 	 EpRet -1271.458 	 EpLen 200
Episode 57 	 EpRet -1399.616 	 EpLen 200
Episode 58 	 EpRet -1368.905 	 EpLen 200
Episode 59 	 EpRet -947.746 	 EpLen 200
Episode 60 	 EpRet -885.814 	 EpLen 200
Episode 61 	 EpRet -873.769 	 EpLen 200
Episode 62 	 EpRet -909.473 	 EpLen 200
Episode 63 	 EpRet -915.085 	 EpLen 200
Episode 64 	 EpRet -755.247 	 EpLen 200
Episode 65 	 EpRet -1336.613 	 EpLen 200
Episode 66 	 EpRet -953.982 	 EpLen 200
Episode 67 	 EpRet -1367.840 	 EpLen 200
Episode 68 	 EpRet -1071.606 	 EpLen 200
Episode 69 	 EpRet -861.160 	 EpLen 200
Episode 70 	 EpRet -1091.948 	 EpLen 200
Episode 71 	 EpRet -1492.043 	 EpLen 200
Episode 72 	 EpRet -866.301 	 EpLen 200
Episode 73 	 EpRet -763.187 	 EpLen 200
Episode 74 	 EpRet -1371.570 	 EpLen 200
Episode 75 	 EpRet -974.171 	 EpLen 200
Episode 76 	 EpRet -1280.489 	 EpLen 200
Episode 77 	 EpRet -1259.641 	 EpLen 200
Episode 78 	 EpRet -1736.695 	 EpLen 200
Episode 79 	 EpRet -798.651 	 EpLen 200
Episode 80 	 EpRet -1079.717 	 EpLen 200
Episode 81 	 EpRet -1048.359 	 EpLen 200
Episode 82 	 EpRet -1118.121 	 EpLen 200
Episode 83 	 EpRet -920.170 	 EpLen 200
Episode 84 	 EpRet -1193.939 	 EpLen 200
Episode 85 	 EpRet -777.886 	 EpLen 200
Episode 86 	 EpRet -913.522 	 EpLen 200
Episode 87 	 EpRet -797.605 	 EpLen 200
Episode 88 	 EpRet -780.619 	 EpLen 200
Episode 89 	 EpRet -882.686 	 EpLen 200
Episode 90 	 EpRet -1178.402 	 EpLen 200
Episode 91 	 EpRet -919.666 	 EpLen 200
Episode 92 	 EpRet -1541.697 	 EpLen 200
Episode 93 	 EpRet -1287.594 	 EpLen 200
Episode 94 	 EpRet -1016.606 	 EpLen 200
Episode 95 	 EpRet -898.026 	 EpLen 200
Episode 96 	 EpRet -1796.564 	 EpLen 200
Episode 97 	 EpRet -872.759 	 EpLen 200
Episode 98 	 EpRet -1112.799 	 EpLen 200
Episode 99 	 EpRet -899.537 	 EpLen 200

|    AverageEpRet |       -1.05e+03 |
|        StdEpRet |             240 |
|        MaxEpRet |            -755 |
|        MinEpRet |        -1.8e+03 |
|           EpLen |             200 |

